journals : 
KIET Group of Institutions, Ghaziabad																																			
Department of Computer Science																																			
Research Publications (Journals) (Duration 1st July 2025 till date)																																			
S.No.	Name of Faculty	"KIET Faculty ID
(All authors from KIET)"	"KIET Affiliation
 (Yes / No)"	Publisher	Title of the paper	Name of the Journal	Year of Publication	Date of Publication	ISSN	"Link to website of the Journal
"	"DOI Online Link
(For Published Paper)
"	Volume No (For Journal)	Issue No. (For Journal)	Page Number	Category (SCIE/Scopus etc)	Cite SCORE (For SCOPUS)/ Impact Factor (for SCIE)	"Status
(Published/ Accepted/ Communicated )"	Upload the proof for the published paper 	Students involved in the Journal (Yes/No)	"Name of students
 (If Yes)"	Name of all the authors 	KIET faculty ID of all the authors 	"Please Map Outcome with the following SDGs
 (SDG (1-17))"	Is the research with outside Institutions in collaboration (Yes / NO)	Name of persons (Outside the KIET Institution)	Name of the Outside Institutions / Organizations	"Departmental DRC Recommendation
 (Recommended/ Not Recommended)"	Actual paper first page link to be loaded in the drive link shared Research Data							
1	Dr. Akash Goel	21331	Yes	Springer	Recurrent Neural Network Chip for Fast Switching and Minimum Delay on Different Hardware	National Academy Science Letter	2025	03.07.2025	2250-1754	https://link.springer.com/journal/40009	https://doi.org/10.1007/s40009-025-01696-1				SCIE	1.3	Published	RNN Chip for Fast Switching and Minimum Delay on Different Hardware.pdf	No	NA	Dr. Akash Goel, Dr. Amit Kumar Goel, De. Adesh Kumar	21331	12	Yes	Dr. Amit Kumar Goel, Dr. Adesh Kumar	Sir Padampat Singhania University, Udaipur,    UPES, Dehradun	Recommended	RNN Chip for Fast Switching and Minimum Delay on Different Hardware.pdf							
2	Dr. Raj Kumar, Mr. Amit Kumar Singh Sanger, Dr. Ajay Kumar Shrivastava, Dr. Anurag Mishra	21160, 21413, 5986, 21340	Yes	World Scientific Publishing Co Pte Ltd	An Image-Based Recommendation System Using Voting-Assisted Ensemble Machine Learning Approach	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems	2025	01.09.2025	1793-6411	https://www.worldscientific.com/doi/abs/10.1142/S0218488525500242?srsltid=AfmBOop4QCqsd69mwlkDduCxGLoNz7UJzX5qDhD-wNFJdyV2YaXCaf5f	https://doi.org/10.1142/S0218488525500242	33	6	733-759	SCIE	1	Published	https://drive.google.com/file/d/14wNyAitlWa3ZaULyNd5CwxYMFK2bskwv/view?usp=sharing	No	NA	Harsh Khatter, Raj Kumar, Amit Kumar Singh Sanger, Ajay Kumar Shrivastava, Anurag Mishra	21160, 21413, 5986, 21340	8	Yes	Arun Prakash Agrawal	Bennett University, Greater Noida	Recommended	https://drive.google.com/file/d/14wNyAitlWa3ZaULyNd5CwxYMFK2bskwv/view?usp=sharing							
3	Dr. Aatif Jamshed	21746	Yes	 Asia PacificAcademy of Science Pte. Ltd	Metafusion: hybrid ML-based object recognition and GPU rendering forreal-time 3D metaverse visualization	Metaverse 2025	2025	10.10.2025	2810-9791	https://aber.apacsci.com/index.php/met/index	https://doi.org/10.54517/m3728	6	3	3728	Scopus	0.9	Published	https://drive.google.com/file/d/1BtgoZU35fCj-VfdkimZ1ggSDBwDpLsh8/view?usp=sharing	No	NA	NA	21746	9,4,17	Yes	Pranshu Saxena, Sandeep Saxena, Sahil Kumar Aggarwal	Bennett Universit,IILM,ABES Engineering College	Recommended	https://drive.google.com/file/d/1BtgoZU35fCj-VfdkimZ1ggSDBwDpLsh8/view?usp=sharing							
4	Dr. Aatif Jamshed	21746	Yes	Asia PacificAcademy of Science Pte. Ltd	Bridging deep segmentation and metaverse visualization: Cellpose-based 3Dbrain tumor reconstruction from MRI	Metaverse 2026	2025	10.10.2025	2810-9791	https://aber.apacsci.com/index.php/met/index	https://doi.org/10.54517/m3727	6	3	3727	Scopus	0.9	Published	https://drive.google.com/file/d/1G3uestxjVDz7L6bfDUuQmrv9_fH8cBE8/view?usp=sharing	No	NA	NA	21746	3,9,4	Yes	Pranshu Saxena,, Sandeep Saxena, Sanjay Kumar Singh, Sahil Kumar Aggarwal	Bennett Universit,IILM,ABES Engineering College,Indraprastha University,	Recommended	https://drive.google.com/file/d/1G3uestxjVDz7L6bfDUuQmrv9_fH8cBE8/view?usp=sharing							
5	Dr. Aatif Jamshed, Dr. Anurag Mishra ,Dr. Harsh Khatter, Dr.Raj Kumar	21746, 21340, 21149, 21160	Yes	Elsevier	"A novel enhanced digital image correlation framework for structural health
monitoring of aircraft"	Measurement	2025	14.10.2025	"Online ISSN: 1873-412X
Print ISSN: 0263-2241"	https://www.sciencedirect.com/journal/measurement	https://doi.org/10.1016/j.measurement.2025.119264	258	Part C	119264	SCIE	5.6	Published	https://www.sciencedirect.com/science/article/pii/S0263224125026235?via%3Dihub	No	NA	NA	21746, 21340, 21149, 21160	3,9,4	No	NA	NA	Recommended	https://drive.google.com/file/d/1JOe8LU0j30JSNl3xj9EPAmbURtKYqpsj/view?usp=drive_link							
6	Mr. Sreesh Gaur	21327	Yes	Wiley	A Multi-Layered Aggregation and Lightweight Prediction Framework for IoT-Based WSNs	Concurrency and Computation: Practice and Experience 	2025	19.10.2025	Online ISSN:1532-0634	https://onlinelibrary.wiley.com/journal/15320634	https://doi.org/10.1002/cpe.70400	37	27-28		SCIE	1.5	Published		No	NA	NA	21327	3,9	Yes	Khushboo Jain, Arun Agarwal, Laxman Singh	"University of Petroleum and Energy Studies, Dehradun, India
Ramanujan College, Delhi University, Delhi, India
ABES Institute of Technology, Ghaziabad, India"	Recommended								
7	Dr. Gaurav Dubey	21324	Yes	Wiley	A Privacy-Preserving and Interpretable Federated Learning Framework With Clinician Feedback for Multi-Hospital Clinical Decision Support	Concurrency and Computation: Practice and Experience 	2025	30.10.2025	Online ISSN:1532-0634	https://onlinelibrary.wiley.com/toc/15320634/2025/37/27-28	https://doi.org/10.1002/cpe.70365	37	27-28		SCIE	1.5	Published	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cpe.70365	NO	NA	NA	21324	3,9	yes	Gaurav Raj,Anil Dubey, Kamaljit, Akash Punhani, Nirpendra das	IILM, Sharda University, ABES, 	Recommended	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cpe.70365							
8	Dr. Gaurav Dubey	21324	Yes	Elsevier	DiEff-MSwinNet: Dilated efficientnet based multi-scale swin transformers for spectrogram-powered epileptic seizure detection in real time	Knowledge-Based Systems	2025	15.11.2025	Online ISSN: 1872-7409	https://www.sciencedirect.com/journal/knowledge-based-systems	https://doi.org/10.1016/j.knosys.2025.114927	332	114927		SCIE	15, IF 7.6	Published	https://www.sciencedirect.com/science/article/pii/S0950705125019653	NO	NA	NA	21324	3,9	yes	"Minakshi Memoria a
, Archana Sharma b
, Sapna Yadav c
, Arun Prakash Agrawal d,* ,
Kamaljit Kuar e
, Akash Punhani"	 King Khalid University, Abha, Saudi Arabia b Department of Computer Science and Applications, Sharda School of Computing Science and Engineering, Sharda University, Greater Noida, India c Department of Computer Science and Engineering, School of Engineering and Technology, Vivekananda Institute of Professional Studies- Technical Campus, India d School of Computer Science Engineering and Technology, Bennett University Greater Noida, India e Department of Computer Engineering and Technology, Guru Nanak Dev University Amritsar, India f School of Computer Science and Engineering IILM University, Greater Noida, Indi	Recommended								
9	Dr. Abhishek Goyal	21330	yes	CCIS	Can Public Code Smells Datasets Be Trusted?	JOURNAL OF COMMUNICATIONS SOFTWARE AND SYSTEMS,	2025	01-Dec-25	1845-6421	https://jcoms.fesb.unist.hr/	https://doi.org/10.24138/jcomss-2025-0131	21	4	477	SCOPUS		Published	https://hrcak.srce.hr/clanak/493026	No	NA	NA		3,9	Yes			Recommended								
10	Dr. Gaurav Dubey	21324	Yes	Springer	Socially enhanced graph network for early identification of at-risk students in virtual learning environments	User Modeling and User-Adapted Interaction	2023	03-02-2026		https://link.springer.com/article/10.1007/s11257-025-09436-2#citeas				1-43	SCIE		Published		NO	NA	NA	21324	9,17	Yes	Harivans Pratap Singh1 ·Kavita Sheoran3 ·Geetika Dhand3 · Archana Singh	Test Analyst, Coforge Pvt Ltd, Greater Noida, U.P, India  Department of Computer Science, MSIT, Delhi, India Ministry of Education, Government of India, Noida, India	Recommended								
11	Dr. Ajay K Shrivastava	5986	Yes	Elsevier	Computational design and screening of novel dipeptide analogues as potent antileprotic agents against alanine racemase and ligase	Letters in Drug Design & Discovery	2026	12-02-2026			https://doi.org/10.1016/j.lddd.2025.100251				SCIE		Published	https://drive.google.com/file/d/14wNyAitlWa3ZaULyNd5CwxYMFK2bskwv/view?usp=drive_link	NO	NA	Richa Sharma, Riya Sharma, Kandasamy Nagarajan, Snigdha Bhardwaj,Arun Kumar Tripathi,Ajay Kumar Shrivastava,Nikhil Kumar, Ankit Verma, Richa Goel						Recommended	https://www.sciencedirect.com/science/article/pii/S1570180825002568							
12	Dr. Akash Rajak	6071	Yes		Neural Signatures of Alcoholism Revealed by Event-Related Potential Analysis of Open EEG Data	JASTT	2026	02-03-2026	2708-0757 	https://jastt.org/index.php/jasttpath/article/view/333	https://doi.org/10.38094/jastt71333	7	1	157-167	Scopus		Published		NO	NA	Akash Rajak	6071		No	NA	NA	Recommended								
13	Dr. Anurag Mishra, Dr. Ajay K Shrivastava		Yes		EnSa-EAE: A New EEG-Based Framework for Human Cognitive Workload Recognition					https://www.tandfonline.com/doi/full/10.1080/10447318.2026.2625965	https://doi.org/10.1080/10447318.2026.2625965				SCIE		Published		NO	NA				No	NA	NA	Recommended								



confrences : 
KIET Group of Institutions, Ghaziabad																									
Department of Computer Science																									
Research Publications (Conferences) (Duration 1st July 2025 till date)																									
S.NO	Name of Faculty	"KIET Faculty ID
(All authors from KIET)"	"KIET Affiliation
 (Yes / No)"	Level of the Conference (International / National)	Title of Published paper in conference	Names of the all authors (separated by commas, " , ") (*order will be same as in published paper)	KIET faculty IDs of the authors separated by commas, " , ") (*order will be same as in published paper)	Title of the proceedings of the conference / Conference Title	Volume / Issue/ Page No. (From the published Conference Proceedings)	Name of the publisher	Date of publication (dd-mm-yy)	ISBN/ISSN number of the proceeding	Weblink of Conference paper/ Cover page of the Conference Proceeding (shareable link)	Please upload the first page of the publication/ full article (only pdf format) (shareable link to all for the specific file only)	Students involved in the Conference (Yes/No)	"Name of students
 (If Yes)"	Map the work with SDGs (1-17)	Is the research with outside Institutions in collaboration (Yes / NO)	Name of persons (Outside the KIET Institution) (Separated by Semicolon ;)	Name of the Outside Institutions / Organizations (Separated by Semicolon ;)	"Status
(Published/ Accepted/ Communicated 
"	Scopus/Non-Scopus	DOI	"Departmental DRC Recommendation
 (Recommended/ Not Recommended)
 DRC head of the respective departments will check all the entries before any Recommendation"	Actual paper first page link to be loaded in the drive link shared Research Data
1	Mr. Vivek Kumar Sharma	21509	Yes	International	Desktop-Based Virtual Assistant Using Python Based on Natural Language Processing	Vivek Kumar Sharma, Neha Shukla, Srijan Shahi, Sushant Kumar Pandey , Suraj Gupta	21509	Data Mining and Information Security	3	Springer	29-08-25	978-981-96-6063-6_3	https://link.springer.com/chapter/10.1007/978-981-96-6063-6_3		Yes	Neha Shukla, Srijan Shahi, Sushant Kumar Pandey , Suraj Gupta	SDG 8	No	NA	NA	Published	Scopus	https://doi.org/10.1007/978-981-96-6063-6_3	Yes	
2	Ms. Arti Sharma	21004	Yes	International	SecureVote: Enhancing Electoral Integrity Using Blockchain-Based E-Voting	Rhythm Garg; Aashish Gupta; Arti Sharma	21004	International Conference on Communication, Security and Artificial Intelligence (ICCSAI), 2025	2025	IEEE	14-07-25	979-8-3315-3607-7	SecureVote: Enhancing Electoral Integrity Using Blockchain-Based E-Voting | IEEE Conference Publication | IEEE Xplore	https://drive.google.com/file/d/1o_weFeoc6KUqssVkJKiHDTeGk9zFd1JD/view?usp=sharing	Yes	Rhythm Garg, Aashish Gupta	SDG 8 and SDG 9	No	NA	NA	Published	Scopus	https://doi.org/10.1109/ICCSAI64074.2025.11064040	Yes	https://drive.google.com/file/d/1o_weFeoc6KUqssVkJKiHDTeGk9zFd1JD/view?usp=sharing
3	Ms. Arti Sharma	21004	Yes	International	ERP for Academic Institutions: Enhancing Academic Management with Innovative Solutions	Pragya Pandey; Pratul Pandey; Nishant; Nilesh Verma; Arti Sharma	21004	2025 International Conference on Electronics, AI and Computing (EAIC)	2025	IEEE	11-08-25	979-8-3315-5358-6	ERP for Academic Institutions: Enhancing Academic Management with Innovative Solutions | IEEE Conference Publication | IEEE Xplore	https://drive.google.com/file/d/14-MKy0wsqlIelkWRMM17gf4VAIdzjXtr/view?usp=sharing	Yes	Pragya Pandey; Pratul Pandey; Nishant; Nilesh Verma	SDG 8 and SDG 9	No	NA	NA	Published	Scopus	https://doi.org/10.1109/EAIC66483.2025.11101330	Yes	https://drive.google.com/file/d/14-MKy0wsqlIelkWRMM17gf4VAIdzjXtr/view?usp=sharing
4	Mr. Puneet Kumar Goyal	21541	Yes	International	Comparative Analysis of Machine Learning Algorithms for Early Sepsis Detection	Puneet Kumar Goyal, Neha Shukla, Vishal Verma, Yash Goel, and Yash Puri	21541	Data Mining and Information Security	59	Springer	19-08-25	978-981-96-6065-0	Comparative Analysis of Machine Learning Algorithms for Early Sepsis Detection | SpringerLink		Yes	Vishal Verma, Yash Goel, and Yash Puri	SDG 8 and SDG 9	No	NA	NA	Published	Scopus	https://doi.org/10.1007/978-981-96-6066-7_5	Yes	
5	Dr. Aatif Jamshed	21746	Yes	International	Pet’s Hub – An Integrated Smart Analytics Platform for Pet Health, Safety, and Management	Vikrant Sen, Shourya Singh, Nivea Tyagi, Prashant Mishra & Aatif Jamshed	21746	International Conference on Data Analytics & Management	LNNS,volume 1607	Springer	04-10-25	978-3-032-03750-3	https://link.springer.com/chapter/10.1007/978-3-032-03751-0_43	https://drive.google.com/file/d/1Qu4ba_6G536jTeFWizB5L-FNVaASISKS/view?usp=sharing	Yes	Vikrant Sen, Shourya Singh, Nivea Tyagi, Prashant Mishra	SDG 3,9,11,12,17	No	NA	NA	Published	Scopus	https://doi.org/10.1007/978-3-032-03751-0_43	Yes	Pet's Hub Research Paper_Aatif Jamshed_Final.pdf
